date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:38	57871/57871	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Feb%202024%2004:59:13%20GMT	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html	(from )
11:51:38	176/176	---M-Z	200	added ('OK')	text/plain	etag:%22132-65cc3cf5-88a4742af70ca5f7;gz%22	https://codedthemes.com/robots.txt		(from )
11:51:39	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-6594f0e0-2d1fd6363e7ea6b9;gz%22	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/css/plugins/jsvectormap.min.css	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/css/plugins/jsvectormap.min.css	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
11:51:39	61675/61675	---M-Z	200	added ('OK')	text/css	etag:%22f0eb-6594f0e0-b46885e8ae27a906;gz%22	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/tabler-icons.min.css	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/tabler-icons.min.css	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
11:51:39	10992/10992	---MCZ	200	added ('OK')	text/css	etag:W/%2235cb-6594f0e0-60a60a385705589b;gz%22	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/feather.css	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/feather.css	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
11:51:39	52949/52949	---MCZ	200	added ('OK')	text/css	etag:W/%221027f-6594f0e0-90068b7c5d31c672;gz%22	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/fontawesome.css	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/fontawesome.css	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
11:51:40	439/439	---MCZ	200	added ('OK')	text/css	etag:W/%2221a-6594f0e0-94a4363080884f41;gz%22	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/material.css	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/fonts/material.css	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
11:51:40	655791/655791	---MCZ	200	added ('OK')	text/css	etag:W/%222e0be9-6594f0e0-afa6cee53719afcb;gz%22	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/css/style.css	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/css/style.css	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
11:51:40	177490/177490	---MCZ	200	added ('OK')	text/css	etag:W/%22a9f64-6594f0df-f46ca6c28a0aa945;gz%22	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/css/style-preset.css	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/assets/css/style-preset.css	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
11:51:40	117748/117748	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Feb%202024%2004:59:13%20GMT	https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index-analytics.html	C:/Users/user/Documents/admin-termplate2/codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index-analytics.html	(from https://codedthemes.com/demos/admin-templates/gradient-able/bootstrap/default/dashboard/index.html)
